row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,global_negative_AB02707_2.mzXML Peak status,global_negative_AB02707_2.mzXML Peak name,global_negative_AB02707_2.mzXML Peak m/z,global_negative_AB02707_2.mzXML Peak RT,global_negative_AB02707_2.mzXML Peak RT start,global_negative_AB02707_2.mzXML Peak RT end,global_negative_AB02707_2.mzXML Peak duration time,global_negative_AB02707_2.mzXML Peak height,global_negative_AB02707_2.mzXML Peak area,global_negative_AB02707_2.mzXML Peak charge,global_negative_AB02707_2.mzXML Peak # data points,global_negative_AB02707_2.mzXML Peak FWHM,global_negative_AB02707_2.mzXML Peak tailing factor,global_negative_AB02707_2.mzXML Peak asymmetry factor,global_negative_AB02707_2.mzXML Peak m/z min,global_negative_AB02707_2.mzXML Peak m/z max,global_negative_BC00454_4.mzXML Peak status,global_negative_BC00454_4.mzXML Peak name,global_negative_BC00454_4.mzXML Peak m/z,global_negative_BC00454_4.mzXML Peak RT,global_negative_BC00454_4.mzXML Peak RT start,global_negative_BC00454_4.mzXML Peak RT end,global_negative_BC00454_4.mzXML Peak duration time,global_negative_BC00454_4.mzXML Peak height,global_negative_BC00454_4.mzXML Peak area,global_negative_BC00454_4.mzXML Peak charge,global_negative_BC00454_4.mzXML Peak # data points,global_negative_BC00454_4.mzXML Peak FWHM,global_negative_BC00454_4.mzXML Peak tailing factor,global_negative_BC00454_4.mzXML Peak asymmetry factor,global_negative_BC00454_4.mzXML Peak m/z min,global_negative_BC00454_4.mzXML Peak m/z max,global_negative_AB02720_2.mzXML Peak status,global_negative_AB02720_2.mzXML Peak name,global_negative_AB02720_2.mzXML Peak m/z,global_negative_AB02720_2.mzXML Peak RT,global_negative_AB02720_2.mzXML Peak RT start,global_negative_AB02720_2.mzXML Peak RT end,global_negative_AB02720_2.mzXML Peak duration time,global_negative_AB02720_2.mzXML Peak height,global_negative_AB02720_2.mzXML Peak area,global_negative_AB02720_2.mzXML Peak charge,global_negative_AB02720_2.mzXML Peak # data points,global_negative_AB02720_2.mzXML Peak FWHM,global_negative_AB02720_2.mzXML Peak tailing factor,global_negative_AB02720_2.mzXML Peak asymmetry factor,global_negative_AB02720_2.mzXML Peak m/z min,global_negative_AB02720_2.mzXML Peak m/z max,global_negative_BC00410_1.mzXML Peak status,global_negative_BC00410_1.mzXML Peak name,global_negative_BC00410_1.mzXML Peak m/z,global_negative_BC00410_1.mzXML Peak RT,global_negative_BC00410_1.mzXML Peak RT start,global_negative_BC00410_1.mzXML Peak RT end,global_negative_BC00410_1.mzXML Peak duration time,global_negative_BC00410_1.mzXML Peak height,global_negative_BC00410_1.mzXML Peak area,global_negative_BC00410_1.mzXML Peak charge,global_negative_BC00410_1.mzXML Peak # data points,global_negative_BC00410_1.mzXML Peak FWHM,global_negative_BC00410_1.mzXML Peak tailing factor,global_negative_BC00410_1.mzXML Peak asymmetry factor,global_negative_BC00410_1.mzXML Peak m/z min,global_negative_BC00410_1.mzXML Peak m/z max,global_negative_QC1_2.mzXML Peak status,global_negative_QC1_2.mzXML Peak name,global_negative_QC1_2.mzXML Peak m/z,global_negative_QC1_2.mzXML Peak RT,global_negative_QC1_2.mzXML Peak RT start,global_negative_QC1_2.mzXML Peak RT end,global_negative_QC1_2.mzXML Peak duration time,global_negative_QC1_2.mzXML Peak height,global_negative_QC1_2.mzXML Peak area,global_negative_QC1_2.mzXML Peak charge,global_negative_QC1_2.mzXML Peak # data points,global_negative_QC1_2.mzXML Peak FWHM,global_negative_QC1_2.mzXML Peak tailing factor,global_negative_QC1_2.mzXML Peak asymmetry factor,global_negative_QC1_2.mzXML Peak m/z min,global_negative_QC1_2.mzXML Peak m/z max,global_negative_QC1_1.mzXML Peak status,global_negative_QC1_1.mzXML Peak name,global_negative_QC1_1.mzXML Peak m/z,global_negative_QC1_1.mzXML Peak RT,global_negative_QC1_1.mzXML Peak RT start,global_negative_QC1_1.mzXML Peak RT end,global_negative_QC1_1.mzXML Peak duration time,global_negative_QC1_1.mzXML Peak height,global_negative_QC1_1.mzXML Peak area,global_negative_QC1_1.mzXML Peak charge,global_negative_QC1_1.mzXML Peak # data points,global_negative_QC1_1.mzXML Peak FWHM,global_negative_QC1_1.mzXML Peak tailing factor,global_negative_QC1_1.mzXML Peak asymmetry factor,global_negative_QC1_1.mzXML Peak m/z min,global_negative_QC1_1.mzXML Peak m/z max
1,281.2474442,12.76945556,nan,,,,6,DETECTED,281.2470 m/z @12.79 [global_negative_AB02707_2.mzXML],281.2470398,12.79131667,12.57436667,13.48913333,0.914766667,4267400.643,83058884.54,1,58,0.297906246,1.995874703,1.983963497,281.2468567,281.2471924,DETECTED,281.2470 m/z @12.56 [global_negative_BC00454_4.mzXML],281.2469788,12.56078333,12.28438333,13.23783333,0.95345,682366.3839,13098585.78,1,56,0.315227606,1.354750037,1.305561656,281.2468262,281.2471619,DETECTED,281.2468 m/z @12.80 [global_negative_AB02720_2.mzXML],281.2467957,12.80466667,12.5859,13.50105,0.91515,4459713.207,88240053.36,1,58,0.300842261,2.085887365,2.36558245,281.2466431,281.2470093,DETECTED,281.2493 m/z @12.80 [global_negative_BC00410_1.mzXML],281.2492523,12.8019,12.58366667,13.47191667,0.88825,2745721.771,43603505.64,1,56,0.237593474,1.391907013,1.512999564,281.2490845,281.2493896,DETECTED,281.2472 m/z @12.80 [global_negative_QC1_2.mzXML],281.2472229,12.80098333,12.4538,13.35086667,0.897066667,118580.6467,2275356.7,1,55,0.258018565,1.310747679,0.937698889,281.2470703,281.2473755,DETECTED,281.2474 m/z @12.86 [global_negative_QC1_1.mzXML],281.2473755,12.85708333,12.5202,13.18825,0.66805,254989.5321,4328971.056,1,42,0.251014581,0.949218836,1.095613392,281.2471924,281.2475891
2,255.2319946,12.45129722,nan,,,,6,DETECTED,255.2316 m/z @12.45 [global_negative_AB02707_2.mzXML],255.2316284,12.44645,12.23141667,12.86918333,0.637766667,1778830.214,29922127.24,1,41,0.278618145,1.25863495,1.412534879,255.2314758,255.2317963,DETECTED,255.2316 m/z @12.18 [global_negative_BC00454_4.mzXML],255.2315979,12.18011667,11.8275,12.56078333,0.733283333,333809.8902,6284350.883,1,43,0.302907388,1.023997484,1.071260344,255.2314148,255.2317505,DETECTED,255.2315 m/z @12.49 [global_negative_AB02720_2.mzXML],255.2314758,12.48965,12.24308333,12.83603333,0.59295,1460591.946,24605451.17,1,38,0.2761835,1.110274157,1.055783858,255.2313232,255.2315979,DETECTED,255.2336 m/z @12.52 [global_negative_BC00410_1.mzXML],255.2335968,12.51986667,12.24031667,13.139,0.898683333,1694968.504,26317162.75,1,57,0.253538036,1.094959621,1.086026161,255.23349,255.2337036,DETECTED,255.2317 m/z @12.52 [global_negative_QC1_2.mzXML],255.2317352,12.51933333,11.98021667,12.90153333,0.921316667,321140.5696,6321759.82,1,56,0.288644168,0.919713049,0.743358504,255.2315674,255.2319031,DETECTED,255.2319 m/z @12.55 [global_negative_QC1_1.mzXML],255.2319336,12.55236667,12.13485,13.05458333,0.919733333,482977.0339,8702294.97,1,58,0.243374471,1.210764834,0.842144899,255.231781,255.2320862
3,277.2162348,13.54056667,nan,,,,6,DETECTED,277.2159 m/z @13.55 [global_negative_AB02707_2.mzXML],277.2159119,13.55341667,13.38976667,14.28348333,0.893716667,1508664.1,23192363.2,1,58,0.227610328,1.749917213,1.886589737,277.2157288,277.2161865,DETECTED,277.2159 m/z @13.47 [global_negative_BC00454_4.mzXML],277.2158813,13.4671,13.29025,14.04968333,0.759433333,123799.4185,1451023.469,1,45,0.161717422,1.827469167,1.421264003,277.2157288,277.2164612,DETECTED,277.2156 m/z @13.56 [global_negative_AB02720_2.mzXML],277.2156067,13.56485,13.37031667,14.28598333,0.915666667,1639912.157,26101615.19,1,58,0.241327819,1.716631303,1.81544978,277.2154541,277.2159424,DETECTED,277.2180 m/z @13.55 [global_negative_BC00410_1.mzXML],277.2179565,13.55085,13.40821667,14.2725,0.864283333,3265614.05,45781023.96,1,58,0.2128136,1.674874447,1.90431772,277.217804,277.2181091,DETECTED,277.2160 m/z @13.56 [global_negative_QC1_2.mzXML],277.2160034,13.56146667,13.38441667,14.26898333,0.884566667,1554534.893,24743625.82,1,57,0.240862197,1.858516137,1.959168705,277.2158203,277.2162476,DETECTED,277.2160 m/z @13.55 [global_negative_QC1_1.mzXML],277.2160492,13.54571667,13.38951667,14.25416667,0.86465,3430245.236,46278795.19,1,58,0.209151426,1.653337727,1.879581777,277.2158813,277.216217
4,303.2316945,14.12441667,nan,,,,6,DETECTED,303.2312 m/z @14.19 [global_negative_AB02707_2.mzXML],303.2312317,14.19275,13.87393333,14.73703333,0.8631,1109287.641,27855295.98,1,58,0.405204359,1.466344302,1.504978251,303.2310181,303.2314453,DETECTED,303.2314 m/z @13.86 [global_negative_BC00454_4.mzXML],303.2314453,13.86425,13.6083,14.4766,0.8683,350192.3679,5330414.373,1,53,0.230009739,1.497993641,1.819551805,303.2311707,303.231842,DETECTED,303.2310 m/z @14.13 [global_negative_AB02720_2.mzXML],303.2310486,14.12875,13.85663333,14.75553333,0.8989,594138.6357,14639993.83,1,58,0.394181055,1.851582686,2.117031052,303.230835,303.2313232,DETECTED,303.2336 m/z @14.26 [global_negative_BC00410_1.mzXML],303.233551,14.25768333,13.91893333,14.78231667,0.863383333,1708440.221,40561924.25,1,58,0.371864619,3.533438369,1.314978333,303.2333374,303.2337952,DETECTED,303.2314 m/z @14.16 [global_negative_QC1_2.mzXML],303.2314148,14.15758333,13.89213333,14.77613333,0.884,899090.1946,23579724.55,1,57,0.407931669,1.702070152,2.058012914,303.2312622,303.2315979,DETECTED,303.2315 m/z @14.15 [global_negative_QC1_1.mzXML],303.2314758,14.14548333,13.89321667,14.77525,0.882033333,1178976.396,30584948.03,1,58,0.399882779,1.792494579,2.309174572,303.2313232,303.2315979
5,253.2163876,13.87663056,nan,,,,5,DETECTED,253.2160 m/z @13.89 [global_negative_AB02707_2.mzXML],253.2160492,13.88976667,13.64921667,14.52025,0.871033333,970851.9893,21486618.28,1,58,0.343569996,1.602238461,1.883070632,253.2158966,253.2161713,ESTIMATED,253.2161 m/z @13.73 [global_negative_BC00454_4.mzXML],253.2160806,13.72915,13.6083,14.14945,0.54115,78412.21875,1000597.798,0,33,0.194095546,2.020198664,2.370422704,253.2158356,253.2164764,DETECTED,253.2158 m/z @13.92 [global_negative_AB02720_2.mzXML],253.2158051,13.92196667,13.62835,14.53201667,0.903666667,1001195.85,23243391.15,1,58,0.426771557,1.378584806,1.580740811,253.2156372,253.2160339,DETECTED,253.2180 m/z @13.93 [global_negative_BC00410_1.mzXML],253.2179565,13.9341,13.65903333,14.51355,0.854516667,2817843.843,60752002.53,1,58,0.345350861,1.37345,1.541189088,253.2178192,253.2181091,DETECTED,253.2162 m/z @13.88 [global_negative_QC1_2.mzXML],253.2161865,13.8764,13.65465,14.5356,0.88095,1220635.454,27029974.59,1,57,0.365220003,1.714551904,2.208028228,253.2160034,253.2163086,DETECTED,253.2162 m/z @13.91 [global_negative_QC1_1.mzXML],253.2162476,13.9084,13.63585,14.50426667,0.868416667,1927314.432,39249259.65,1,58,0.323245314,1.365352002,1.507973339,253.2161102,253.2163696
6,215.0319888,1.859733333,nan,,,,6,DETECTED,215.0316 m/z @1.88 [global_negative_AB02707_2.mzXML],215.0316315,1.877766667,1.661283333,2.5354,0.874116667,956510.7536,16854934.8,0,58,0.222910084,1.863819405,3.286795557,215.0313873,215.0318756,DETECTED,215.0318 m/z @1.82 [global_negative_BC00454_4.mzXML],215.0317841,1.815716667,1.655683333,2.562816667,0.907133333,568014.9964,7986342.21,0,57,0.196656635,2.83349005,5.190602866,215.031601,215.032074,DETECTED,215.0316 m/z @1.89 [global_negative_AB02720_2.mzXML],215.0315933,1.888133333,1.654016667,2.536883333,0.882866667,881605.9054,15758339.1,0,58,0.229409774,1.793933904,2.869429463,215.0312958,215.0318451,DETECTED,215.0337 m/z @1.83 [global_negative_BC00410_1.mzXML],215.0336914,1.831833333,1.6617,2.457383333,0.795683333,1181806.955,13810980.73,0,54,0.151221612,2.354779979,3.877842119,215.0334473,215.0339203,DETECTED,215.0317 m/z @1.91 [global_negative_QC1_2.mzXML],215.0317078,1.905433333,1.662833333,2.51865,0.855816667,1080348.609,20780367.97,0,57,0.255298592,1.56227668,2.215090268,215.0313873,215.0319366,DETECTED,215.0315 m/z @1.84 [global_negative_QC1_1.mzXML],215.0315247,1.839516667,1.6565,2.47365,0.81715,1436897.623,20812441.99,0,55,0.194300974,2.043429255,3.335340235,215.0313568,215.0317383
7,203.0818643,9.142327778,nan,,,,2,DETECTED,203.0816 m/z @9.14 [global_negative_AB02707_2.mzXML],203.0816345,9.14325,9.036783333,10.00368333,0.9669,705784.2125,6416705.15,1,54,0.126180104,1.608449104,1.5655046,203.0814209,203.0817871,DETECTED,203.0817 m/z @9.14 [global_negative_BC00454_4.mzXML],203.0816956,9.138183333,9.0324,9.92375,0.89135,718229.3071,5019317.807,1,51,0.101471269,1.298639064,1.451016414,203.0815125,203.0818481,ESTIMATED,203.0815 m/z @9.12 [global_negative_AB02720_2.mzXML],203.0815475,9.122733333,8.99485,9.711366667,0.716516667,698253.3125,5400210.898,0,40,0.107244284,1.672210447,1.785791255,203.0813446,203.0817413,ESTIMATED,203.0831 m/z @9.16 [global_negative_BC00410_1.mzXML],203.0831295,9.159583333,9.016066667,9.754483333,0.738416667,1041108.875,7319615.485,0,42,0.100515207,1.189296874,1.149732594,203.081665,203.0832977,ESTIMATED,203.0816 m/z @9.14 [global_negative_QC1_2.mzXML],203.0815923,9.139466667,9.014416667,9.9436,0.929183333,817333,7004254.344,0,52,0.118536445,1.511631052,1.755474364,203.0814514,203.0817261,ESTIMATED,203.0816 m/z @9.15 [global_negative_QC1_1.mzXML],203.0815865,9.15075,9.008716667,9.711633333,0.702916667,1069895.5,7798390.929,0,40,0.104822257,1.212650718,1.090602872,203.0814667,203.0817108
8,327.2316818,13.88616111,nan,,,,6,DETECTED,327.2312 m/z @13.95 [global_negative_AB02707_2.mzXML],327.2312317,13.95245,13.68138333,14.53518333,0.8538,683184.2268,14319223.55,1,57,0.325889235,1.366367663,1.475463023,327.2310181,327.2314148,DETECTED,327.2313 m/z @13.68 [global_negative_BC00454_4.mzXML],327.231308,13.6775,13.52036667,14.24835,0.727983333,154187.0009,2237255.421,1,44,0.209615491,1.877673763,2.452501072,327.2310181,327.231842,DETECTED,327.2310 m/z @13.94 [global_negative_AB02720_2.mzXML],327.230957,13.93821667,13.66048333,14.56345,0.902966667,236094.3049,5091719.071,1,58,0.357882181,1.389330424,1.642922912,327.2307434,327.2314148,DETECTED,327.2337 m/z @13.93 [global_negative_BC00410_1.mzXML],327.2337036,13.9341,13.69001667,14.54446667,0.85445,777261.9964,16396274.84,1,58,0.345688267,1.552394686,1.927205354,327.23349,327.2340393,DETECTED,327.2314 m/z @13.88 [global_negative_QC1_2.mzXML],327.2314148,13.8764,13.67036667,14.55115,0.880783333,450510.7036,10297959.26,1,57,0.355321737,1.98131553,2.683206395,327.2311401,327.2316284,DETECTED,327.2315 m/z @13.94 [global_negative_QC1_1.mzXML],327.2314758,13.9383,13.68141667,14.55043333,0.869016667,800821.8821,15630962.59,1,58,0.312050683,1.324581822,1.431814084,327.2312622,327.2319031
9,239.091554,11.55950833,nan,,,,6,DETECTED,239.0911 m/z @11.56 [global_negative_AB02707_2.mzXML],239.0911026,11.5568,11.47573333,11.9603,0.484566667,638358.1679,4231077.347,0,32,0.092319554,1.605409036,1.508559501,239.0909576,239.0912781,DETECTED,239.0912 m/z @11.54 [global_negative_BC00454_4.mzXML],239.0912476,11.54333333,11.45461667,12.07493333,0.620316667,439834.0179,2532016.959,1,36,0.085050517,1.335905863,1.290998341,239.0910797,239.0914917,DETECTED,239.0911 m/z @11.55 [global_negative_AB02720_2.mzXML],239.0911102,11.54623333,11.46468333,11.81371667,0.349033333,356922.5295,2428787.672,0,23,0.100231708,1.664706426,1.535221747,239.0908508,239.0911865,DETECTED,239.0931 m/z @11.57 [global_negative_BC00410_1.mzXML],239.0930939,11.56893333,11.49036667,12.25705,0.766683333,2957749.286,18686167.55,1,51,0.088356703,1.638762641,1.792997238,239.0928802,239.0933228,DETECTED,239.0912 m/z @11.56 [global_negative_QC1_2.mzXML],239.0912018,11.55968333,11.47233333,12.21885,0.746516667,889106.1536,6512681.784,1,44,0.101929723,1.648402337,1.838227729,239.0910034,239.0914917,DETECTED,239.0916 m/z @11.58 [global_negative_QC1_1.mzXML],239.091568,11.58206667,11.4803,12.32785,0.84755,1433029.311,9222159.146,1,52,0.091864096,1.331402602,1.18663642,239.0912018,239.0918427
10,267.1227519,12.04674444,nan,,,,6,DETECTED,267.1223 m/z @12.05 [global_negative_AB02707_2.mzXML],267.122345,12.05371667,11.97628333,12.58993333,0.61365,609041.1759,4061919.826,1,39,0.097195055,1.556570661,1.54830893,267.1221619,267.1225586,DETECTED,267.1223 m/z @12.02 [global_negative_BC00454_4.mzXML],267.1223145,12.02263333,11.95218333,12.37188333,0.4197,169521.6772,952270.3792,0,25,0.084422387,1.383034319,1.312786572,267.1221008,267.1224365,DETECTED,267.1222 m/z @12.03 [global_negative_AB02720_2.mzXML],267.1221924,12.03173333,11.9531,12.60151667,0.648416667,291870.0339,2033439.161,1,41,0.098521017,1.710785844,2.048923931,267.1217346,267.1229858,DETECTED,267.1245 m/z @12.05 [global_negative_BC00410_1.mzXML],267.1244507,12.05198333,11.97671667,12.53568333,0.558966667,1579625.321,9675406.993,1,36,0.090119646,1.646759017,1.976611113,267.1242676,267.1246643,DETECTED,267.1225 m/z @12.05 [global_negative_QC1_2.mzXML],267.1224976,12.04893333,11.96268333,12.60096667,0.638283333,458361.5232,3322675.91,1,39,0.102359425,1.495667176,1.82092026,267.1223145,267.1226501,DETECTED,267.1227 m/z @12.07 [global_negative_QC1_1.mzXML],267.1227112,12.07146667,11.9732,12.56806667,0.594866667,738395.8464,4749145.926,1,38,0.092432707,1.351288802,1.233094502,267.1224365,267.1229553
