row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,QE2_sbs_11_1[blank]n.mzXML Peak status,QE2_sbs_11_1[blank]n.mzXML Peak name,QE2_sbs_11_1[blank]n.mzXML Peak m/z,QE2_sbs_11_1[blank]n.mzXML Peak RT,QE2_sbs_11_1[blank]n.mzXML Peak RT start,QE2_sbs_11_1[blank]n.mzXML Peak RT end,QE2_sbs_11_1[blank]n.mzXML Peak duration time,QE2_sbs_11_1[blank]n.mzXML Peak height,QE2_sbs_11_1[blank]n.mzXML Peak area,QE2_sbs_11_1[blank]n.mzXML Peak charge,QE2_sbs_11_1[blank]n.mzXML Peak # data points,QE2_sbs_11_1[blank]n.mzXML Peak FWHM,QE2_sbs_11_1[blank]n.mzXML Peak tailing factor,QE2_sbs_11_1[blank]n.mzXML Peak asymmetry factor,QE2_sbs_11_1[blank]n.mzXML Peak m/z min,QE2_sbs_11_1[blank]n.mzXML Peak m/z max,QE2_sbs_11_2[blank]n.mzXML Peak status,QE2_sbs_11_2[blank]n.mzXML Peak name,QE2_sbs_11_2[blank]n.mzXML Peak m/z,QE2_sbs_11_2[blank]n.mzXML Peak RT,QE2_sbs_11_2[blank]n.mzXML Peak RT start,QE2_sbs_11_2[blank]n.mzXML Peak RT end,QE2_sbs_11_2[blank]n.mzXML Peak duration time,QE2_sbs_11_2[blank]n.mzXML Peak height,QE2_sbs_11_2[blank]n.mzXML Peak area,QE2_sbs_11_2[blank]n.mzXML Peak charge,QE2_sbs_11_2[blank]n.mzXML Peak # data points,QE2_sbs_11_2[blank]n.mzXML Peak FWHM,QE2_sbs_11_2[blank]n.mzXML Peak tailing factor,QE2_sbs_11_2[blank]n.mzXML Peak asymmetry factor,QE2_sbs_11_2[blank]n.mzXML Peak m/z min,QE2_sbs_11_2[blank]n.mzXML Peak m/z max,QE2_sbs_11_8[9N]n.mzXML Peak status,QE2_sbs_11_8[9N]n.mzXML Peak name,QE2_sbs_11_8[9N]n.mzXML Peak m/z,QE2_sbs_11_8[9N]n.mzXML Peak RT,QE2_sbs_11_8[9N]n.mzXML Peak RT start,QE2_sbs_11_8[9N]n.mzXML Peak RT end,QE2_sbs_11_8[9N]n.mzXML Peak duration time,QE2_sbs_11_8[9N]n.mzXML Peak height,QE2_sbs_11_8[9N]n.mzXML Peak area,QE2_sbs_11_8[9N]n.mzXML Peak charge,QE2_sbs_11_8[9N]n.mzXML Peak # data points,QE2_sbs_11_8[9N]n.mzXML Peak FWHM,QE2_sbs_11_8[9N]n.mzXML Peak tailing factor,QE2_sbs_11_8[9N]n.mzXML Peak asymmetry factor,QE2_sbs_11_8[9N]n.mzXML Peak m/z min,QE2_sbs_11_8[9N]n.mzXML Peak m/z max,QE2_sbs_11_10[2S]n.mzXML Peak status,QE2_sbs_11_10[2S]n.mzXML Peak name,QE2_sbs_11_10[2S]n.mzXML Peak m/z,QE2_sbs_11_10[2S]n.mzXML Peak RT,QE2_sbs_11_10[2S]n.mzXML Peak RT start,QE2_sbs_11_10[2S]n.mzXML Peak RT end,QE2_sbs_11_10[2S]n.mzXML Peak duration time,QE2_sbs_11_10[2S]n.mzXML Peak height,QE2_sbs_11_10[2S]n.mzXML Peak area,QE2_sbs_11_10[2S]n.mzXML Peak charge,QE2_sbs_11_10[2S]n.mzXML Peak # data points,QE2_sbs_11_10[2S]n.mzXML Peak FWHM,QE2_sbs_11_10[2S]n.mzXML Peak tailing factor,QE2_sbs_11_10[2S]n.mzXML Peak asymmetry factor,QE2_sbs_11_10[2S]n.mzXML Peak m/z min,QE2_sbs_11_10[2S]n.mzXML Peak m/z max,QE2_sbs_11_19[16N]n.mzXML Peak status,QE2_sbs_11_19[16N]n.mzXML Peak name,QE2_sbs_11_19[16N]n.mzXML Peak m/z,QE2_sbs_11_19[16N]n.mzXML Peak RT,QE2_sbs_11_19[16N]n.mzXML Peak RT start,QE2_sbs_11_19[16N]n.mzXML Peak RT end,QE2_sbs_11_19[16N]n.mzXML Peak duration time,QE2_sbs_11_19[16N]n.mzXML Peak height,QE2_sbs_11_19[16N]n.mzXML Peak area,QE2_sbs_11_19[16N]n.mzXML Peak charge,QE2_sbs_11_19[16N]n.mzXML Peak # data points,QE2_sbs_11_19[16N]n.mzXML Peak FWHM,QE2_sbs_11_19[16N]n.mzXML Peak tailing factor,QE2_sbs_11_19[16N]n.mzXML Peak asymmetry factor,QE2_sbs_11_19[16N]n.mzXML Peak m/z min,QE2_sbs_11_19[16N]n.mzXML Peak m/z max,QE2_sbs_11_9[5S]n.mzXML Peak status,QE2_sbs_11_9[5S]n.mzXML Peak name,QE2_sbs_11_9[5S]n.mzXML Peak m/z,QE2_sbs_11_9[5S]n.mzXML Peak RT,QE2_sbs_11_9[5S]n.mzXML Peak RT start,QE2_sbs_11_9[5S]n.mzXML Peak RT end,QE2_sbs_11_9[5S]n.mzXML Peak duration time,QE2_sbs_11_9[5S]n.mzXML Peak height,QE2_sbs_11_9[5S]n.mzXML Peak area,QE2_sbs_11_9[5S]n.mzXML Peak charge,QE2_sbs_11_9[5S]n.mzXML Peak # data points,QE2_sbs_11_9[5S]n.mzXML Peak FWHM,QE2_sbs_11_9[5S]n.mzXML Peak tailing factor,QE2_sbs_11_9[5S]n.mzXML Peak asymmetry factor,QE2_sbs_11_9[5S]n.mzXML Peak m/z min,QE2_sbs_11_9[5S]n.mzXML Peak m/z max,
1,196.02516174316406,9.075647222222221,,,,,6,DETECTED,196.0252 m/z @9.07 [QE2_sbs_11_1[blank]n.mzXML],196.02523803710938,9.074466666666666,8.9479,9.778566666666668,0.8306666666666676,7559686.085714286,5.4272844125228584E7,1,133,0.07428869226876955,1.9065828008035737,1.478481318236216,196.02513122558594,196.02529907226562,DETECTED,196.0252 m/z @9.07 [QE2_sbs_11_2[blank]n.mzXML],196.02517700195312,9.068433333333333,8.935583333333334,9.78555,0.849966666666667,1.1301905914285714E7,8.240622949947262E7,1,134,0.08160795036837065,3.7583497279138265,1.6342694109598541,196.02511596679688,196.0252227783203,DETECTED,196.0251 m/z @9.08 [QE2_sbs_11_8[9N]n.mzXML],196.02513122558594,9.081349999999999,9.000666666666666,9.459766666666667,0.4591000000000012,8050506.614285715,4.8809384644650444E7,1,70,0.07465166398338674,2.7233184636243633,1.4295692894424938,196.02508544921875,196.0251922607422,DETECTED,196.0251 m/z @9.08 [QE2_sbs_11_10[2S]n.mzXML],196.02513122558594,9.07765,9.003716666666666,9.480616666666666,0.47690000000000055,8291685.2142857155,4.7659155761264786E7,1,73,0.06969046748996277,2.8983604608428974,1.5155333102247228,196.0250701904297,196.0252227783203,DETECTED,196.0252 m/z @9.07 [QE2_sbs_11_19[16N]n.mzXML],196.02516174316406,9.0737,9.007366666666666,9.487833333333333,0.4804666666666666,6786855.9,3.863720404997775E7,1,75,0.06659032573281998,3.417572968658742,1.6694559175597905,196.0251007080078,196.02520751953125,DETECTED,196.0251 m/z @9.08 [QE2_sbs_11_9[5S]n.mzXML],196.02513122558594,9.078283333333333,9.017916666666668,9.462166666666667,0.4442499999999985,7407682.271428571,4.0609310978997655E7,1,68,0.06542056535104912,3.582332508861282,1.9003016092077756,196.0250701904297,196.0252227783203,
2,116.02548443679268,17.221083333333336,,,,,5,DETECTED,116.0253 m/z @17.22 [QE2_sbs_11_1[blank]n.mzXML],116.02528381347656,17.220000000000002,17.208333333333332,17.511166666666668,0.30283333333333573,3565721.3483816967,1.226287066875035E7,0,47,0.02583615038658138,10.615790334948091,11.24431864172946,116.0252456665039,116.02556610107422,DETECTED,116.0255 m/z @17.22 [QE2_sbs_11_2[blank]n.mzXML],116.02553939819336,17.223166666666668,17.211000000000002,17.515,0.3039999999999985,3297798.841908482,1.1534347708000518E7,0,46,0.02311199319331081,8.528724214073453,10.752882239136602,116.02529907226562,116.02562713623047,DETECTED,116.0255 m/z @17.22 [QE2_sbs_11_8[9N]n.mzXML],116.02552032470703,17.221333333333334,17.209666666666667,17.513166666666667,0.30349999999999966,6642758.133426339,3.2792260419138942E7,0,48,0.040803114809286,9.039965215805232,13.177071759531952,116.02540588378906,116.02565002441406,ESTIMATED,116.0255 m/z @17.22 [QE2_sbs_11_10[2S]n.mzXML],116.0255224349651,17.217,17.211333333333336,17.5095,0.29816666666666336,8443214.0,1.949761054296789E7,0,47,0.023719321702955654,9.806051247983767,9.520729059634611,116.02545166015625,116.02558898925781,DETECTED,116.0255 m/z @17.22 [QE2_sbs_11_19[16N]n.mzXML],116.02552032470703,17.220166666666668,17.208666666666666,17.510166666666667,0.30150000000000077,5520280.225334821,1.3269222991076445E7,0,47,0.01972785011124145,8.57204409718613,6.591235313442705,116.02523040771484,116.02555084228516,DETECTED,116.0255 m/z @17.22 [QE2_sbs_11_9[5S]n.mzXML],116.02552032470703,17.224833333333333,17.2125,17.512999999999998,0.30049999999999955,3447403.1208705357,1.0578360241042083E7,0,46,0.026512932436265402,9.950648754721223,9.191307974736564,116.02544403076172,116.02558898925781,
3,90.00937747955322,17.22977777777778,,,,,5,DETECTED,90.0094 m/z @17.22 [QE2_sbs_11_1[blank]n.mzXML],90.0093765258789,17.220000000000002,17.208333333333332,17.511166666666668,0.30283333333333573,3376844.635909598,1.3003002325301837E7,1,47,0.024570666595533197,12.815953585069504,12.26505050791956,90.0092544555664,90.0094223022461,DETECTED,90.0094 m/z @17.22 [QE2_sbs_11_2[blank]n.mzXML],90.00939178466797,17.223166666666668,17.211000000000002,17.515,0.3039999999999985,2194922.558049665,9708024.015448084,0,46,0.10792424449911664,12.697245569832447,15.873264732825408,90.00929260253906,90.0094223022461,DETECTED,90.0094 m/z @17.27 [QE2_sbs_11_8[9N]n.mzXML],90.00935363769531,17.273500000000002,17.209666666666667,17.513166666666667,0.30349999999999966,6306538.5,2.8843487396806408E7,0,48,0.022668614248701147,1.692552145275707,1.6078766178998185,90.00930786132812,90.00950622558594,ESTIMATED,90.0094 m/z @17.22 [QE2_sbs_11_10[2S]n.mzXML],90.00943565368652,17.217,17.211333333333336,17.229499999999998,0.018166666666662223,7166571.0,4565136.6940127,0,4,0.013440811307372513,1.602941176471252,2.205882352942504,90.00933837890625,90.00955963134766,DETECTED,90.0094 m/z @17.22 [QE2_sbs_11_19[16N]n.mzXML],90.00935363769531,17.220166666666668,17.208666666666666,17.510166666666667,0.30150000000000077,4640608.782421875,1.1292054568349984E7,1,47,0.01944962747837664,11.43864619126057,6.36699891778024,90.00927734375,90.00938415527344,DETECTED,90.0094 m/z @17.22 [QE2_sbs_11_9[5S]n.mzXML],90.00935363769531,17.224833333333333,17.2125,17.512999999999998,0.30049999999999955,2728913.3682617187,9161981.84353242,0,46,0.024429695408464625,12.621441596896833,11.765125483267676,90.00932312011719,90.0094985961914,
4,83.02460066477458,17.221083333333336,,,,,5,DETECTED,83.0246 m/z @17.22 [QE2_sbs_11_1[blank]n.mzXML],83.02460479736328,17.220000000000002,17.208333333333332,17.5045,0.296166666666668,2856466.1450892864,7045893.047058079,0,46,0.026836684698739788,6.081746238838904,6.6797935561628705,83.02442169189453,83.02462768554688,DETECTED,83.0246 m/z @17.22 [QE2_sbs_11_2[blank]n.mzXML],83.02459716796875,17.223166666666668,17.211000000000002,17.371166666666667,0.16016666666666524,2115050.965401786,4902268.514175193,0,25,0.022134788828225282,6.224304944206009,6.912979150338117,83.02455139160156,83.0246353149414,DETECTED,83.0246 m/z @17.22 [QE2_sbs_11_8[9N]n.mzXML],83.02458190917969,17.221333333333334,17.209666666666667,17.46516666666667,0.2555000000000014,4214484.999107143,1.2408660103705512E7,1,41,0.03193108794584276,6.2893813402558,7.179288221989638,83.02455139160156,83.02474975585938,ESTIMATED,83.0246 m/z @17.22 [QE2_sbs_11_10[2S]n.mzXML],83.02463340759277,17.217,17.211333333333336,17.229499999999998,0.018166666666662223,4976070.0,3432296.3528117966,0,4,0.015963897145997663,1.602941176471252,2.205882352942504,83.02454376220703,83.02478790283203,DETECTED,83.0246 m/z @17.22 [QE2_sbs_11_19[16N]n.mzXML],83.02458953857422,17.220166666666668,17.208666666666666,17.510166666666667,0.30150000000000077,4078675.139285714,1.0163594274551535E7,1,47,0.022052445160056777,7.716048246918694,6.326653203515502,83.02442932128906,83.02462768554688,DETECTED,83.0246 m/z @17.22 [QE2_sbs_11_9[5S]n.mzXML],83.02459716796875,17.224833333333333,17.2125,17.4545,0.24200000000000088,2039866.7122767856,6244539.40216083,0,37,0.032130312806220473,9.41398726039122,11.702525194103693,83.0245590209961,83.02473449707031,
5,221.15444946289062,12.726405555555557,,,,,6,DETECTED,221.1545 m/z @12.73 [QE2_sbs_11_1[blank]n.mzXML],221.15447998046875,12.730433333333334,12.627749999999999,13.428183333333333,0.8004333333333342,2428630.6,1.1307655607341189E7,1,124,0.0677671135000768,1.2631247223548416,1.2708452815005187,221.154296875,221.15469360351562,DETECTED,221.1545 m/z @12.73 [QE2_sbs_11_2[blank]n.mzXML],221.1544647216797,12.730433333333334,12.637766666666666,13.291916666666667,0.6541500000000013,2391668.592857143,1.1836416483530555E7,1,98,0.07027548343509515,1.265389818031586,1.3209911183139504,221.15426635742188,221.1552276611328,DETECTED,221.1544 m/z @12.73 [QE2_sbs_11_8[9N]n.mzXML],221.15444946289062,12.729266666666666,12.656183333333333,13.307316666666667,0.651133333333334,2529404.2857142854,1.1882415011293918E7,1,97,0.06882694881261564,1.2747282648511604,1.3247523623305306,221.1543426513672,221.1552734375,DETECTED,221.1544 m/z @12.73 [QE2_sbs_11_10[2S]n.mzXML],221.15443420410156,12.7278,12.655183333333333,13.462716666666667,0.8075333333333337,2829777.714285714,1.2456758582253698E7,1,121,0.06379251657502572,1.2094584650559017,1.237553185231006,221.15426635742188,221.15518188476562,DETECTED,221.1544 m/z @12.72 [QE2_sbs_11_19[16N]n.mzXML],221.15443420410156,12.7151,12.646683333333334,13.260016666666667,0.6133333333333333,3538455.4,1.5776401169929083E7,1,97,0.06566163620681564,1.3699637591023945,1.4628031462355104,221.154296875,221.15460205078125,DETECTED,221.1544 m/z @12.73 [QE2_sbs_11_9[5S]n.mzXML],221.15443420410156,12.7254,12.635383333333333,13.1692,0.5338166666666666,2933823.271428571,1.2847171738603592E7,1,82,0.06483482984731204,1.3177656530608373,1.3723832188616725,221.1542205810547,221.15525817871094,
6,117.02075871677262,17.221083333333336,,,,,5,DETECTED,117.0206 m/z @17.22 [QE2_sbs_11_1[blank]n.mzXML],117.02056121826172,17.220000000000002,17.208333333333332,17.511166666666668,0.30283333333333573,1878103.7132254464,5573460.936876434,0,47,0.02528558703556172,9.196200672346784,9.275456583775192,117.02051544189453,117.02083587646484,DETECTED,117.0208 m/z @17.22 [QE2_sbs_11_2[blank]n.mzXML],117.02076721191406,17.223166666666668,17.211000000000002,17.515,0.3039999999999985,1800006.142354911,5216593.853703667,0,46,0.021024760015400545,7.323759863599795,9.16717818647529,117.02054595947266,117.0208969116211,DETECTED,117.0208 m/z @17.22 [QE2_sbs_11_8[9N]n.mzXML],117.02078247070312,17.221333333333334,17.209666666666667,17.430999999999997,0.22133333333333027,3807837.5840680804,1.608952997464509E7,0,36,0.04871379065929915,8.25797830151514,11.96093616204606,117.02066802978516,117.02099609375,ESTIMATED,117.0208 m/z @17.22 [QE2_sbs_11_10[2S]n.mzXML],117.02083068198345,17.217,17.211333333333336,17.5095,0.29816666666666336,5216798.0,1.0154509091903737E7,0,47,0.025823971300972914,7.779610170325087,9.40771551069096,117.02071380615234,117.02094268798828,DETECTED,117.0208 m/z @17.22 [QE2_sbs_11_19[16N]n.mzXML],117.02079772949219,17.220166666666668,17.208666666666666,17.353666666666665,0.14499999999999957,3322732.6575892856,5617604.059493071,1,23,0.01851971513029227,5.832077886783342,5.2356152924654324,117.02052307128906,117.02082824707031,DETECTED,117.0208 m/z @17.22 [QE2_sbs_11_9[5S]n.mzXML],117.02081298828125,17.224833333333333,17.2125,17.327166666666667,0.11466666666666825,1667069.4993024555,3565107.5183078935,0,18,0.025215816955327597,4.648648648648388,8.082250046427461,117.02070617675781,117.02093505859375,
7,92.02505366007487,17.221083333333336,,,,,5,DETECTED,92.0250 m/z @17.22 [QE2_sbs_11_1[blank]n.mzXML],92.02499389648438,17.220000000000002,17.208333333333332,17.511166666666668,0.30283333333333573,1850404.0215401782,8428055.593654621,0,47,0.02481209823644903,12.978571428567527,23.719236856624995,92.02493286132812,92.02507019042969,DETECTED,92.0250 m/z @17.22 [QE2_sbs_11_2[blank]n.mzXML],92.02502059936523,17.223166666666668,17.211000000000002,17.515,0.3039999999999985,1557410.1708984373,7268278.715613472,0,46,0.022420010422397496,14.0942289113887,18.886389214494464,92.02494049072266,92.02520751953125,DETECTED,92.0251 m/z @17.22 [QE2_sbs_11_8[9N]n.mzXML],92.025146484375,17.221333333333334,17.209666666666667,17.513166666666667,0.30349999999999966,3228934.800837054,1.7454994973962497E7,0,48,0.03490914294354752,13.098467434920783,19.849050908349973,92.02495574951172,92.02519989013672,ESTIMATED,92.0251 m/z @17.22 [QE2_sbs_11_10[2S]n.mzXML],92.02505874633789,17.217,17.211333333333336,17.229499999999998,0.018166666666662223,3766566.5,2593917.5596088497,0,4,0.016075475597951083,1.602941176471252,2.205882352942504,92.02497100830078,92.02518463134766,DETECTED,92.0250 m/z @17.22 [QE2_sbs_11_19[16N]n.mzXML],92.02497100830078,17.220166666666668,17.208666666666666,17.510166666666667,0.30150000000000077,2941444.396819196,1.278032966002314E7,0,47,0.020298001427526913,13.1086956521721,25.278206170143807,92.0249252319336,92.02509307861328,DETECTED,92.0251 m/z @17.22 [QE2_sbs_11_9[5S]n.mzXML],92.02513122558594,17.224833333333333,17.2125,17.512999999999998,0.30049999999999955,1465544.2154296874,8611391.97711575,0,46,0.0381673065005117,12.182432432431563,39.32509909726499,92.02495574951172,92.02523803710938,
8,188.951416015625,10.114805555555554,,,,,6,DETECTED,188.9515 m/z @10.12 [QE2_sbs_11_1[blank]n.mzXML],188.9514923095703,10.115616666666666,10.060216666666667,10.233316666666667,0.1730999999999998,1771022.1964285716,7314381.350828784,1,29,0.06247441814701915,1.454406743162419,1.4381414182552985,188.951416015625,188.9515838623047,DETECTED,188.9514 m/z @10.11 [QE2_sbs_11_2[blank]n.mzXML],188.951416015625,10.112216666666665,10.06125,10.246466666666667,0.18521666666666725,2047365.3035714284,8541940.485297846,1,30,0.0624688305701131,1.6656455402131158,1.616298541319919,188.9513397216797,188.9514617919922,DETECTED,188.9514 m/z @10.12 [QE2_sbs_11_8[9N]n.mzXML],188.95138549804688,10.118683333333333,10.054499999999999,10.272516666666666,0.2180166666666672,2483756.4714285713,1.0851389468874685E7,1,35,0.06357763627284996,1.446576612977928,1.500009663794211,188.95130920410156,188.95147705078125,DETECTED,188.9514 m/z @10.11 [QE2_sbs_11_10[2S]n.mzXML],188.95140075683594,10.112,10.060683333333333,10.252716666666666,0.19203333333333283,2396031.7464285716,1.0580467720598577E7,1,31,0.06663450212522726,1.72396054940295,1.6933706389597254,188.95130920410156,188.95193481445312,DETECTED,188.9514 m/z @10.11 [QE2_sbs_11_19[16N]n.mzXML],188.951416015625,10.1112,10.054833333333333,10.248816666666666,0.19398333333333362,2508601.6785714286,1.1103316601663755E7,1,32,0.06467885628178038,1.577933535001538,1.531929846465907,188.95135498046875,188.9515380859375,DETECTED,188.9514 m/z @10.12 [QE2_sbs_11_9[5S]n.mzXML],188.95138549804688,10.119116666666667,10.061483333333333,10.254066666666667,0.19258333333333333,2493562.842857143,1.0463533117761953E7,1,31,0.06223196204351922,1.4229642976937922,1.3484711701223675,188.9512939453125,188.95152282714844,
9,194.08211771647134,12.01984722222222,,,,,6,DETECTED,194.0822 m/z @12.02 [QE2_sbs_11_1[blank]n.mzXML],194.08216857910156,12.019716666666666,11.962833333333332,12.569716666666666,0.6068833333333341,1654409.907142857,6596648.405307281,1,96,0.05473701479558635,1.4715572720645662,1.7099660403367427,194.08193969726562,194.08238220214844,DETECTED,194.0821 m/z @12.02 [QE2_sbs_11_2[blank]n.mzXML],194.08213806152344,12.020066666666667,11.967933333333333,12.684466666666667,0.7165333333333344,1781637.3499999999,7062149.143769351,1,109,0.053305597224927226,1.6711081931754732,1.478869575052187,194.0819549560547,194.08224487304688,DETECTED,194.0821 m/z @12.03 [QE2_sbs_11_8[9N]n.mzXML],194.0821075439453,12.025183333333333,11.960533333333332,12.596066666666667,0.6355333333333348,2111688.2,8434217.184242632,1,97,0.054802065900995345,1.2386921644121431,1.2217955302488719,194.0818634033203,194.08221435546875,DETECTED,194.0821 m/z @12.02 [QE2_sbs_11_10[2S]n.mzXML],194.08209228515625,12.021666666666667,11.964066666666668,12.6618,0.697733333333332,2315363.0785714285,9015141.097146142,1,108,0.0519098993227427,1.256650918131844,1.2483710680239195,194.08197021484375,194.0822296142578,DETECTED,194.0821 m/z @12.01 [QE2_sbs_11_19[16N]n.mzXML],194.0821075439453,12.012216666666665,11.956666666666667,12.570783333333333,0.614116666666666,2608187.1785714286,1.0106481222874627E7,1,100,0.05409284888865429,1.3488775424542736,1.3527842207798733,194.0818328857422,194.08230590820312,DETECTED,194.0821 m/z @12.02 [QE2_sbs_11_9[5S]n.mzXML],194.08209228515625,12.020233333333334,11.962666666666667,12.673399999999999,0.7107333333333319,2303912.2928571426,9084515.074576925,1,112,0.052459992176137504,1.3364303245168467,1.3677572728964267,194.08193969726562,194.0822296142578,
10,213.01534271240234,9.941530555555556,,,,,6,DETECTED,213.0154 m/z @9.94 [QE2_sbs_11_1[blank]n.mzXML],213.01544189453125,9.935366666666665,9.8604,10.45355,0.5931499999999996,1502477.6178571428,8266180.878702634,1,96,0.06916730423398043,2.0975079653662307,2.0282098003864646,213.0153045654297,213.01556396484375,DETECTED,213.0154 m/z @9.94 [QE2_sbs_11_2[blank]n.mzXML],213.01535034179688,9.939633333333335,9.8693,10.679366666666665,0.810066666666664,1797505.3214285716,9780911.70321704,1,127,0.06532409974641773,1.9302000965117325,1.8907045055425802,213.01524353027344,213.01547241210938,DETECTED,213.0153 m/z @9.94 [QE2_sbs_11_8[9N]n.mzXML],213.0153045654297,9.9443,9.879333333333333,10.649416666666667,0.7700833333333339,2037958.8714285712,1.1169727927814059E7,1,120,0.06446077382878812,1.9498261496815246,1.953325498494711,213.01515197753906,213.01541137695312,DETECTED,213.0153 m/z @9.94 [QE2_sbs_11_10[2S]n.mzXML],213.0153045654297,9.944183333333333,9.8794,10.621566666666666,0.742166666666666,1976256.6,1.0936002696077475E7,1,116,0.06480021114195011,1.952417527281265,1.9051758290733314,213.01516723632812,213.01541137695312,DETECTED,213.0154 m/z @9.94 [QE2_sbs_11_19[16N]n.mzXML],213.01535034179688,9.941216666666666,9.871633333333333,10.431666666666667,0.5600333333333332,1804052.6714285715,1.0212915424712783E7,1,90,0.06976970167902508,2.0216496469521625,2.1093249869372013,213.01524353027344,213.0154571533203,DETECTED,213.0153 m/z @9.94 [QE2_sbs_11_9[5S]n.mzXML],213.0153045654297,9.944483333333332,9.8798,10.3705,0.49070000000000036,1762010.9571428571,9793056.149825744,1,77,0.06965733761664339,2.137240662524449,1.7976871598849808,213.01522827148438,213.01547241210938,
