Garrett Lab ID,M/Z,Retention,Name,Formula,Molecular Weight,Adduct,Notes,,KEGG,
428p,75.0917,0.62,"1,3-DIAMINOPROPANE",C3H10N2,74.1249,,,,C00986,
750p,76.0393,0.736,GLYCINE,C2H5NO2,75.0666,,,,C00037,
2723790p,77.0168,0.908,THIOUREA,CH4N2S,76.12086,,,,C14415,
1049p,80.04971,0.973,Pyridine,C5H5N,79.0422,,Shaddox Samples - Compound Discoverer,,C00747,
1045p,89.1073,0.58,PUTRESCINE,C4H12N2,88.15148,,RT corrected from 0.63min by std 03.01.2018 CC,,C00134,
ISO-01p,90.05495,0.751,ALANINE/SARCOSINE,C3H7NO2,89.09318,,,,NA,
,90.05495,9,N-BOC-L-Alanine,C8H15NO4,,,Injection Standard,,NA,
612p,91.03953,0.84,L-(+)-Lactic Acid,C3H6O3,90.07794,,,,NA,
IntStd9p,93.06556,0.72,L-Alanine 13C3,*CH3*CH(NH2)*COOH,,,Cambridge Isotope Project,,NA,
8871p,96.0444,3.31,2-HYDROXYPYRIDINE,C5H5NO,95.0993,,,,C02502,
1061p,98.98421,0.799,Orthophosphate,H3O4P,97.97689,,Shaddox Samples - Compound Discoverer,,NA,
535p,102.055,0.81,1-AMINOCYCLOPROPANE-1-CARBOXYLATE,C4H7NO2,101.10388,,,,C01234,
75606p,104.0342,1.06,N-FORMYLGLYCINE,C3H5NO3,103.0767,,,,NA,
119p,104.0706,0.833,4-AMINOBUTANOATE (GABA),C4H9NO2,103.11976,,,,C00334,
6119p,104.0706,0.87,2-AMINO-2-METHYLPROPANOATE,C4H9NO2,103.11976,,,,C03665,
64956p,104.0706,0.944,3-AMINOISOBUTANOATE,C4H9NO2,103.11976,,,,C05145,
305p,104.1069,0.86,Choline,C5H13NO,103.0997,,Duffy archeology samples - Compound Discoverer,,C00114,
1128p,105.037,2.224,Tetrahydrothiophene-1-oxide,C4H8OS,104.02959,,Shaddox Samples - Compound Discoverer,,NA,
5951p,106.04987,0.722,L-SERINE,C3H7NO3,105.09258,,,,C00065,
8113p,106.08626,0.748,DIETHANOLAMINE,C4H11NO2,105.135564,,,,C06772,
8452p,107.0467,7.9,CYCLOPENTANONE,C5H8O,84.11642,M+Na,,,C00557,
7504p,108.0808,5.21,BENZYLAMINE,C7H9N,107.15306,,,,C15562,
107812p,110.02703,0.747,HYPOTAURINE,C2H7NO2S,109.14748,,,,C00519,
5801p,110.06,1.88,2-AMINOPHENOL,C6H7NO,109.12588,,,,C01987,
1088p,112.0369,0.75,SARCOSINE,C3H7NO2,89.09318,M+Na,,,C00213,
12473p,112.0393,6.92,PYRROLE-2-CARBOXYLATE,C5H5NO2,111.0987,,,,C05942,
66950p,112.05053,1.597,Isocytosine,C4H5N3O,111.0432,,Shaddox Samples - Compound Discoverer,,NA,
597p,112.05054,0.894,CYTOSINE,C4H5N3O,111.102,,,,C00380,
774p,112.086,0.62,HISTAMINE,C5H9N3,111.14506,,Updated 10/18/17,,C00388,
1174p,113.03455,1.492,URACIL,C4H4N2O2,112.08676,,,,C00106,
588p,114.06619,0.944,CREATININE,C4H7N3O,113.11788,,,,C00791,
753p,115.0365,0.79,GLYCEROL,C3H8O3,92.09382,M+Na,,,C00116,
649p,115.0502,1.431,"5,6-DIHYDROURACIL",C4H6N2O2,114.10264,,,,C00429,
145742p,116.0706,0.911,L-PROLINE,C5H9NO2,115.13046,,,,C00148,
444266p,117.0182,2.32,MALEIC ACID,C4H4O4,116.07216,,,,C01384,
134505p,118.0321,1,L-HOMOCYSTEINE THIOLACTONE,C4H7NOS,117.16948,,,,,
763p,118.0611,0.81,GUANIDINOACETATE,C3H7N3O2,117.10658,,,,C00581,
ISO-02p/6287p,118.0863,1.18,L-VALINE/5-AMINOPENTANOATE/L-NORVALINE,C5H11NO2,117.14634,,,,NA,
247p,118.0863,0.86,BETAINE,C5H11NO2,117.14634,,,,C00719,
227p,120.0449,8.62,Anthranilate,C7H7NO2,137.13598,[M+H-H2O],,,C00108,
ISO-03p,120.06552,0.759,THREONINE/HOMOSERINE,C4H9NO3,119.11916,,,,NA,
SF1,120.08078,6.2,Phenylalanine-HCOOH,C8H10N,,,Source fragment,,NA,
1044p,121.05087,3.009,PURINE,C5H4N4,120.11206,,,,C15587,
5862p,122.02703,0.71,L-CYSTEINE,C3H7NO2S,121.15818,,,,C00097,
1001p,122.0964,6.71,PHENETHYLAMINE,C8H11N,121.17964,,,,C05332,
