sampleID,group
QE2_sbs_11_1[blank].mzXML Peak height,zero-blank
QE2_sbs_11_2[blank].mzXML Peak height,zero-blank
QE2_sbs_11_3[blank].mzXML Peak height,zero-blank
QE2_sbs_11_42[blank].mzXML Peak height,zero-blank
QE2_sbs_11_29[blank].mzXML Peak height,zero-blank
QE2_sbs_11_42[blank].mzXML Peak height,zero-blank
QE2_sbs_11_7[10N].mzXML Peak height,Nicotine
QE2_sbs_11_8[9N].mzXML Peak height,Nicotine
QE2_sbs_11_19[16N].mzXML Peak height,Nicotine
QE2_sbs_11_20[11N].mzXML Peak height,Nicotine
QE2_sbs_11_28[12N].mzXML Peak height,Nicotine
QE2_sbs_11_32[15N].mzXML Peak height,Nicotine
QE2_sbs_11_40[13N].mzXML Peak height,Nicotine
QE2_sbs_11_46[14N].mzXML Peak height,Nicotine
QE2_sbs_11_6[4S].mzXML Peak height,Saline
QE2_sbs_11_9[5S].mzXML Peak height,Saline
QE2_sbs_11_10[2S].mzXML Peak height,Saline
QE2_sbs_11_13[3S].mzXML Peak height,Saline
QE2_sbs_11_14[6S].mzXML Peak height,Saline
QE2_sbs_11_21[1S].mzXML Peak height,Saline
QE2_sbs_11_38[8S].mzXML Peak height,Saline
QE2_sbs_11_45[7S].mzXML Peak height,Saline
