ID,M/Z,Retention,Name,Formula,
1,246.1694521,8.023037821,"Isobutyronitrile;
2-Methylpropanenitrile",C4H7N,
2,166.0860035,11.48100385,1-Pyrrolinium,C4H7N,
3,116.0704557,0.846126923,3-Buten-1-amine,C4H9N,
4,166.0860106,6.141599359,Pyrrolidine,C4H9N,
5,104.1068571,0.805594231,(R)-2-Methylpyrrolidine,C5H11N,
6,120.0806283,11.48166923,Piperidine,C5H11N,
7,258.1093449,0.756019565,Piperidine,C5H11N,
8,132.0765357,0.892363462,(R)-2-Methylpyrrolidine,C5H11N,
9,184.0730058,0.716339394,Cytosine,C4H5N3O,
10,208.1157961,7.677662667,Selenium Sulfide,SSe,
11,162.112132,0.932117308,4-Carboxypyrazole,C4H4N2O2,
12,114.0661265,0.913475,Uracil,C4H4N2O2,
13,191.0890993,7.674655797,Maleic hydrazide,C4H4N2O2,
14,147.0760517,0.719330128,Indole,C8H7N,
15,122.9243673,0.661966667,Benzeneacetonitrile,C8H7N,
16,204.1226486,4.256833974,4-Ethynylaniline,C8H7N,
17,148.0600886,0.748479487,Thymine,C5H6N2O2,
18,432.1699427,0.713699167,Imidazole-4-acetate,C5H6N2O2,
19,132.1017289,2.492687179,1H-Imidazole-1-acetic acid,C5H6N2O2,
20,181.071556,6.995537333,"D-2-Aminohexano-6-lactam;
(R)-2-Aminohexano-6-lactam",C6H12N2O,
21,156.076515,0.688547222,"L-Lysine 1,6-lactam;
L-2-Aminohexano-6-lactam;
L-alpha-Aminocaprolactam;
(S)-2-Aminohexano-6-lactam",C6H12N2O,
22,130.0496881,0.739922436,(S)-Piperidine-2-carboxamide,C6H12N2O,
23,126.0216976,0.696998413,1-Piperidine carboxylic acid,C6H11NO2,
24,138.1218197,2.495705797,3-Acetamidobutanal,C6H11NO2,
25,219.0260612,0.6809675,N-Methyl-L-Proline ,C6H11NO2,
26,198.1059934,7.959096,L-trans-4-Methyl-2-pyrrolidinecarboxylic acid,C6H11NO2,
27,195.087599,7.971248718,N4-Acetylaminobutanal,C6H11NO2,
28,205.0968874,11.507078,Pipecolic acid,C6H11NO2,
29,172.1059828,6.13961,(2E)-Decenoyl-ACP,C6H11NO2,
30,232.1538444,7.463600641,L-Pipecolic acid,C6H11NO2,
31,163.0597186,0.769923077,2-Pyrrolidineacetic acid,C6H11NO2,
32,142.164537,2.454765833,Vigabatrin,C6H11NO2,
33,249.0864433,11.50875192,D-Pipecolic acid,C6H11NO2,
34,135.095488,0.889878846,trans-3-Aminocyclopentane-1-carboxylic acid,C6H11NO2,
35,366.1383232,0.8729425,Nipecotic Acid,C6H11NO2,
36,325.1118996,0.730150833,"(3R)-beta-Leucine;
(3R)-3-Amino-4-methylpentanoic acid;
(3R)-3-Amino-4-methylvaleric acid",C6H13NO2,
37,182.0808876,10.06828462,"D-Isoleucine;
(2R,3R)-2-Amino-3-methylvaleric acid",C6H13NO2,
38,180.0652091,7.993941304,"beta-Alaninebetaine;
beta-Alanine betaine;
Propiobetaine;
Trimethylalanine",C6H13NO2,
39,188.0702333,11.50832431,D-allo-Isoleucine,C6H13NO2,
40,169.0353345,1.861388889,6-amino-hexanoic acid,C6H13NO2,
41,343.1224213,0.743619167,L-Norleucine,C6H13NO2,
42,182.0809322,3.368653846,3-Aminocaproic acid,C6H13NO2,
43,215.0157031,1.916875641,L-Isoleucine ,C6H13NO2,
44,220.1174828,6.563205128,2-Amino-4-methylpentanoic acid,C6H13NO2,
45,490.1755211,0.744845,N-methylvaline,C6H13NO2,
46,216.0627484,0.697861905,L-Leucine,C6H13NO2,
47,130.0861278,10.94364551,D-Leucine,C6H13NO2,
48,90.05484739,0.715858333,L-Alloisoleucine,C6H13NO2,
49,120.0805916,6.142970513,Beta-Leucine,C6H13NO2,
50,274.0912209,0.826819167,(±)-erythro-Isoleucine,C6H13NO2,
51,72.0807981,1.109186538,N-(2-Hydroxyethyl)-morpholine,C6H13NO2,
52,205.0970759,7.680287179,6-Deoxyfagomine,C6H13NO2,
53,181.0714039,7.416321429,"N,N-Diethylglycine",C6H13NO2,
54,91.03890447,0.73771859,"L-Alanine, N-propyl-",C6H13NO2,
55,708.2543419,0.877659804,1-nitrohexane,C6H13NO2,
56,292.1017349,0.829352667,2S-Amino-3S-methylpentanoic acid,C6H13NO2,
57,129.0180686,1.915816026,1-deoxy-1-(N6-lysino)-D-fructose,C4H7NO4,
58,146.1173057,1.276577536,D-Aspartic acid,C4H7NO4,
59,462.1803982,0.721375,Iminodiacetic acid ,C4H7NO4,
60,123.0551038,1.635095513,L-Aspartic acid,C4H7NO4,
61,105.0333991,7.990560897,"1,4-Dideoxy-1,4-Imino-D-Arabinitol",C5H11NO3,
62,124.9223835,0.661469167,3-Hydroxynorvaline,C5H11NO3,
63,150.0580082,1.409031159,L-O-Methylthreonine,C5H11NO3,
64,188.1008838,3.367518182,L-2-Amino-5-hydroxypentanoic acid,C5H11NO3,
65,210.0603178,0.954496825,"1,4-Dideoxy-1,4-imino-D-ribitol",C5H11NO3,
66,132.1017229,2.197863462,N-Lactoyl ethanolamine,C5H11NO3,
67,112.0504975,1.619811806,N-Hydroxy-L-valine,C5H11NO3,
68,218.1382887,6.556051923,Trigonelline,C7H7NO2,
69,634.2175613,0.82724,2-Aminobenzoic acid,C7H7NO2,
70,210.0604462,1.918061538,m-Aminobenzoic acid,C7H7NO2,
71,120.0653233,0.724571154,4-Aminobenzoic acid ,C7H7NO2,
72,190.9115623,0.657495,Salicylamide,C7H7NO2,
73,134.0445711,8.583979545,2-Pyridylacetic acid,C7H7NO2,
74,177.0389558,1.186629333,3-Pyridylacetic acid,C7H7NO2,
75,126.1008555,6.140762667,Methyl nicotinate,C7H7NO2,
76,188.0703842,7.680775,2-Nitrotoluene,C7H7NO2,
77,112.8955757,0.6788725,2-Pyridylacetic acid,C7H7NO2,
78,183.0510056,6.12398,3-Nitrotoluene,C7H7NO2,
79,86.09640008,2.493007051,"4-Nitrotoluene;
1-Methyl-4-nitrobenzene",C7H7NO2,
80,512.1964569,0.803796667,Salicylamide,C7H7NO2,
81,106.0497461,0.69359058,(E)-Urocanic acid,C6H6N2O2,
82,264.1184539,1.067165833,Nicotinamide N-oxide,C6H6N2O2,
83,175.0233899,1.917290385,2-Aminonicotinic acid,C6H6N2O2,
84,132.1017001,10.94409551,Urocanic acid,C6H6N2O2,
85,91.1131649,2.493053333,5-Oxo-2(5H)-isoxazolepropanenitrile,C6H6N2O2,
86,244.0919748,1.621375362,"4-Nitroaniline;
p-Nitroaniline;
4-Nitrobenzeneamine",C6H6N2O2,
87,247.1435951,8.038926667,para-Benzoquinone dioxime,C6H6N2O2,Compound Discoverer Duffy
88,204.0861587,0.808499359,Acipimox (5-methylpyrazine-2-carboxylic acid),C6H6N2O2,
89,255.0968895,1.432761667,methyl 4-Pyrimidine Carboxylate,C6H6N2O2,
90,193.0340479,1.919046377,2-Pyrimidine Acetic Acid,C6H6N2O2,
91,246.1078917,1.100463333,methyl 2-Pyrimidine Carboxylate,C6H6N2O2,
92,260.1850638,9.007314744,D-Proline betaine,C7H13NO2,
93,260.1137163,0.7592,"(E)-4-(Trimethylammonio)but-2-enoate;
Crotono-betaine;
Crotonobetaine",C7H13NO2,
94,327.1305168,11.50677583,Proline betaine,C7H13NO2,
95,162.0757842,0.898316667,L-2-Amino-3-methylenehexanoic acid,C7H13NO2,
96,229.1793586,12.25248077,"3beta,6beta-Dihydroxynortropane",C7H13NO2,
97,123.0551029,1.430317949,1-Aminocyclohexanecarboxylic acid,C7H13NO2,
98,147.028571,1.917504487,Hydroxycyclohexane-carboxylic Acid,C7H12O3,
99,160.1329117,2.7637525,"7-Oxoheptanoic acid;
7-Ketoheptanoic acid",C7H12O3,
100,247.0919574,1.002916667,trans-4-Hydroxycyclohexanecarboxylate,C7H12O3,
101,144.1016914,1.022653205,(S)-2-aceto-2-hydroxy-butanoic acid,C7H12O3,
102,132.0652373,0.730542949,isopropyl 3-hydroxybut-2-enoate,C7H12O3,
103,310.1121702,0.803107576,Methyl (R)-3-methyl-2-oxopentanoate,C7H12O3,
104,114.8929737,0.6788725,4-Hydroxycyclohexylcarboxylic acid,C7H12O3,
105,246.1078498,1.203953333,Botryodiplodin,C7H12O3,
106,268.1033669,5.717174306,Tetrahydrofurfuryl acetate,C7H12O3,
107,373.6038132,0.956836667,Ethyl levulinate,C7H12O3,
108,165.0543771,10.07054936,2-Keto-n-heptylic acid,C7H12O3,
109,129.0654764,0.863157051,n-valeryl acetic acid,C7H12O3,
110,186.1121175,1.528370667,3-butyrl propionic acid,C7H12O3,
111,242.9248996,0.645466667,4-propionyl butyric acid,C7H12O3,
112,324.0582997,1.044428333,5-aceto valeric acid,C7H12O3,
113,162.1103465,7.675242361,2S-Hydroxy-2-isopropylbutano-3S-lactone,C7H12O3,
114,212.00737,1.918580833,2-Hydroxyparaconate,C5H6O5,
115,197.0662116,7.251454444,Oxaloacetate 4-methyl ester,C5H6O5,
116,170.091828,0.69851859,"5-Hydroxy-2,4-dioxopentanoate",C5H6O5,
117,207.1096878,7.675324167,"Dehydro-D-arabinono-1,4-lactone;
(5R)-3,4-Dihydroxy-5-(hydroxymethyl)furan-2(5H)-one",C5H6O5,
118,96.15919685,2.453856667,Methyloxaloacetate,C5H6O5,
119,139.0024675,1.919104861,Oxoglutaric acid,C5H6O5,
120,159.0914154,11.508885,3-Oxoglutaric acid,C5H6O5,
121,130.0860919,1.213623077,Penicillamine,C5H11NO2S,
122,257.210513,13.49233718,"D-Methionine;
D-2-Amino-4-(methylthio)butyric acid",C5H11NO2S,
123,247.1898014,12.24921417,L-Methionine,C5H11NO2S,
124,141.1581234,2.457436667,Racemethionine,C5H11NO2S,
125,70.06515406,0.844019872,Penicillamine,C5H11NO2S,
126,153.0655027,5.020344444,1-Methylhypoxanthine ,C6H6N4O,
127,162.0757317,1.194037821,7-Methylhypoxanthine,C6H6N4O,
128,215.0155956,0.956230769,Methyl isopentyl disulfide,C6H14S2,
129,136.0755293,10.06723782,Diisopropyl disulfide,C6H14S2,
130,167.0559826,6.293023485,Dipropyl disulfide,C6H14S2,
131,298.1138687,6.6495225,"1,6-Hexanedithiol",C6H14S2,
132,133.0734569,0.895357576,Butyl ethyl disulfide,C6H14S2,
133,132.0774136,7.674811667,Methyl pentyl disulfide,C6H14S2,
134,388.1802376,0.719028333,xi-1-(Propylthio)-1-propanethiol,C6H14S2,
135,106.950456,0.647332576,3-Nitrophenylhydrazine,C6H7N3O2,
136,184.0983528,12.2508,"1,2-Diamino-4-nitrobenzene",C6H7N3O2,
137,454.1544452,0.834981667,"1,4-Diamino-2-nitrobenzene",C6H7N3O2,
