# plot_type: 'table'
# section_name: 'Components comparison'
# description: 'Comparison of identified components between click-point and commoned-line'
# pconfig:
#     namespace: 'Cust Data'
# headers:
#     col1:
#         title: 'click_metabolomics'
#         description: 'metabolomics identified with click-point'
#     col2:
#         title: 'batch_metabolomics'
#         description: 'metabolomics identified with commond-line and batchfile'
#     col3:
#         title: 'same'
#         description: 'comparison results'
components            col1            col1            col2
0            1-AMINOCYCLOPROPANE-1-CARBOXYLATE            1-AMINOCYCLOPROPANE-1-CARBOXYLATE            TRUE            
1            2-hydroxyglutarate+Na            2-hydroxyglutarate+Na            TRUE            
2            2-Hydroxyphenylalanine;L-TYROSINE            2-Hydroxyphenylalanine;L-TYROSINE            TRUE            
3            3-AMINOISOBUTANOATE            3-AMINOISOBUTANOATE            TRUE            
4            3-UREIDOPROPIONATE            3-UREIDOPROPIONATE            TRUE            
5            3,5-Di-tert-butylbenzaldehyde            3,5-Di-tert-butylbenzaldehyde            TRUE            
6            3'-CMP            3'-CMP            TRUE            
7            4-AMINOBUTANOATE_(GABA);2-AMINO-2-METHYLPROPANOATE;3-AMINOISOBUTANOATE            4-AMINOBUTANOATE_(GABA);2-AMINO-2-METHYLPROPANOATE;3-AMINOISOBUTANOATE            TRUE            
8            4-GUANIDINOBUTANOATE            4-GUANIDINOBUTANOATE            TRUE            
9            5-AMINOLEVULINIC_ACID;4-HYDROXYPROLINE;trans-4-Hydroxy-L_Proline            5-AMINOLEVULINIC_ACID;4-HYDROXYPROLINE;trans-4-Hydroxy-L_Proline            TRUE            
10            5-Hydroxy-N-formylkynurenine            5-Hydroxy-N-formylkynurenine            TRUE            
11            5-Hydroxymethyl-2-furaldehyde            5-Hydroxymethyl-2-furaldehyde            TRUE            
12            5-OXO-L-PROLINE;Pyroglutamic_Acid            5-OXO-L-PROLINE;Pyroglutamic_Acid            TRUE            
13            5,6-DIHYDROURACIL            5,6-DIHYDROURACIL            TRUE            
14            Acetaminophen/Paracetamol            Acetaminophen/Paracetamol            TRUE            
15            Acetaminophen/Paracetamol            Acetaminophen/Paracetamol            TRUE            
16            Acyl-Carnitine(5-OH)            Acyl-Carnitine(5-OH)            TRUE            
17            ADENINE            ADENINE            TRUE            
18            ADENINE            ADENINE            TRUE            
19            ALANINE/SARCOSINE            ALANINE/SARCOSINE            TRUE            
20            ALANINE/SARCOSINE            ALANINE/SARCOSINE            TRUE            
21            ALDO/KETO-HEXOSE            ALDO/KETO-HEXOSE            TRUE            
22            ALDO/KETO-HEXOSE            ALDO/KETO-HEXOSE            TRUE            
23            ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE;L-2-Aminoadipic_Acid            ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE;L-2-Aminoadipic_Acid            TRUE            
24            Anthranilate            Anthranilate            TRUE            
25            ASPARTATE            ASPARTATE            TRUE            
26            ASPARTATE            ASPARTATE            TRUE            
27            Benzyl_butyl_pthalate_(BzBP)            Benzyl_butyl_pthalate_(BzBP)            TRUE            
28            BETAINE            BETAINE            TRUE            
29            BOC-D-Phenylalanine            BOC-D-Phenylalanine            TRUE            
30            BOC-D-Phenylalanine            BOC-D-Phenylalanine            TRUE            
31            BOC-L-Tyrosine            BOC-L-Tyrosine            TRUE            
32            BOC-L-Tyrosine            BOC-L-Tyrosine            TRUE            
33            Caffeine-D3            Caffeine-D3            TRUE            
34            Capsaicin            Capsaicin            TRUE            
35            Choline            Choline            TRUE            
36            CITRATE            CITRATE            TRUE            
37            Citrate_source_fragment_(+H_and_+_NH3)            Citrate_source_fragment_(+H_and_+_NH3)            TRUE            
38            Citrate_source_fragment_(+NH3)            Citrate_source_fragment_(+NH3)            TRUE            
39            Citrate_source_fragment_(+NH3)            Citrate_source_fragment_(+NH3)            TRUE            
40            Citrate+Na            Citrate+Na            TRUE            
41            Citrate+NH3            Citrate+NH3            TRUE            
42            CITRULLINE            CITRULLINE            TRUE            
43            CMP            CMP            TRUE            
44            CMP            CMP            TRUE            
45            CREATINE            CREATINE            TRUE            
46            Creatine-D3            Creatine-D3            TRUE            
47            CREATININE            CREATININE            TRUE            
48            Cyclic-ADP_Ribose            Cyclic-ADP_Ribose            TRUE            
49            CYTIDINE            CYTIDINE            TRUE            
50            CYTOSINE            CYTOSINE            TRUE            
51            CYTOSINE            CYTOSINE            TRUE            
52            DEOXYCARNITINE;BUTYROBETAINE            DEOXYCARNITINE;BUTYROBETAINE            TRUE            
53            DEOXYCYTIDINE            DEOXYCYTIDINE            TRUE            
54            Dibutyl_phthalate;Di-n-butyl_pthalate_(DBP)            Dibutyl_phthalate;Di-n-butyl_pthalate_(DBP)            TRUE            
55            DIHYDROXYACETONE_PHOSPHATE            DIHYDROXYACETONE_PHOSPHATE            TRUE            
56            Dihydroxyquinoine            Dihydroxyquinoine            TRUE            
57            Dimer_of_Lactose            Dimer_of_Lactose            TRUE            
58            Dipropylene_glycol            Dipropylene_glycol            TRUE            
59            Dipropyleneglycol_dibenzoate            Dipropyleneglycol_dibenzoate            TRUE            
60            Erucamide            Erucamide            TRUE            
61            ETHANOLAMINE_PHOSPHATE;2-AMINOETHYL_DIHYDROGEN_PHOSPHATE            ETHANOLAMINE_PHOSPHATE;2-AMINOETHYL_DIHYDROGEN_PHOSPHATE            TRUE            
62            Formyl-5-hydroxykynurenamine            Formyl-5-hydroxykynurenamine            TRUE            
63            Formylkynurenine            Formylkynurenine            TRUE            
64            GLUCOSAMINE/MANNOSAMINE            GLUCOSAMINE/MANNOSAMINE            TRUE            
65            Glutathione            Glutathione            TRUE            
66            Glutathione_Disulfide            Glutathione_Disulfide            TRUE            
67            Glycerophosphocholine            Glycerophosphocholine            TRUE            
68            GUANINE            GUANINE            TRUE            
69            GUANOSINE            GUANOSINE            TRUE            
70            HEXOSE-6-PHOSPHATE            HEXOSE-6-PHOSPHATE            TRUE            
71            HEXOSE-DISACCHARIDE            HEXOSE-DISACCHARIDE            TRUE            
72            HEXOSE-DISACCHARIDE;Lactose+Na            HEXOSE-DISACCHARIDE;Lactose+Na            TRUE            
