# plot_type: 'table'
# section_name: 'My section with a table'
# description: 'a custom text introduction (a few sentences) for this section'
# pconfig:
#     namespace: 'Cust Data'
# headers:
#     col1:
#         title: 'Lemas_POS'
#         description: 'This is a longer hover text for my column'
#     col2:
#         title: 'Xinsong_repliation'
#         description: 'Hover description text'
#     col3:
#         title: 'difference'
#         description: 'Hover description text'
Peak_lists            col1            col2            col3
1[Blank]p.mzXML_chromatograms-1E5            1,335            1,552            217            
1[NeatQC]p.mzXML_chromatograms-1E5            1,606            2,036            430            
2[NeatQC]p.mzXML_chromatograms-1E5            1,727            2,084            357            
2[RCP]p.mzXML_chromatograms-1E5            3,572            4,935            1,363            
1[RCP]p.mzXML_chromatograms-1E5            3,529            5,128            1,599            
1[extBlank]p.mzXML_chromatograms-1E5            1,412            1,631            219            
4[extBlank]p.mzXML_chromatograms-1E5            1,644            1,911            267            
2[Blank]p.mzXML_chromatograms-1E5            1,187            1,301            114            
2[extBlank]p.mzXML_chromatograms-1E5            1,409            1,634            225            
3[extBlank]p.mzXML_chromatograms-1E5            1,404            1,611            207            
3[Blank]p.mzXML_chromatograms-1E5            1,156            1,277            121            
2[BLS001A]p.mzXML_chromatograms-1E5            2,629            3,550            921            
1[BLS001A]p-dd.mzXML_chromatograms-1E5            2,346            3,311            965            
3[BLS001A]p-dd.mzXML_chromatograms-1E5            2,587            3,468            881            
1[BLS001A]p.mzXML_chromatograms-1E5            2,410            3,311            901            
11[BLS010A]p.mzXML_chromatograms-1E5            2,544            3,498            954            
10[BLS010A]p.mzXML_chromatograms-1E5            2,595            3,593            998            
2[BLS001A]p-dd.mzXML_chromatograms-1E5            2,570            3,497            927            
12[BLS010A]p.mzXML_chromatograms-1E5            2,526            3,348            822            
4[BLS002A]p.mzXML_chromatograms-1E5            2,282            3,106            824            
3[BLS001A]p.mzXML_chromatograms-1E5            2,658            3,595            937            
7[BLS003A]p.mzXML_chromatograms-1E5            2,345            3,056            711            
5[BLS002A]p.mzXML_chromatograms-1E5            2,717            3,643            926            
8[BLS003A]p.mzXML_chromatograms-1E5            2,598            3,595            997            
9[BLS003A]p.mzXML_chromatograms-1E5            2,532            3,439            907            
6[BLS002A]p.mzXML_chromatograms-1E5            2,715            3,737            1,022            
1[Blank]p.mzXML_chromatograms-1E5_smoothed_deconvoluted_deisotoped            918            1,135            217            
2[NeatQC]p.mzXML_chromatograms-1E5_smoothed_deconvoluted_deisotoped            1,008            1,253            245            
1[NeatQC]p.mzXML_chromatograms-1E5_smoothed_deconvoluted_deisotoped            1,324            1,719            395            
4[extBlank]p.mzXML_chromatograms-1E5_smoothed_deconvoluted_deisotoped            966            1,106            140            
4[Blank]p.mzXML_chromatograms-1E5_smoothed_deconvoluted_deisotoped            705            789            84            
1[BLS001A]p-dd.mzXML_chromatograms-1E5_smoothed_deconvoluted_deisotoped            1,800            2,339            539            
